run_id,run_key,run_tag,model_family,model_name,edge_type,corr_window,lookback_window,seed,target_type,target_horizon,rebalance_freq,split_id,config_hash,inclusion_status
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-5f466004c922__sd-42__tg-fixed-medium,b95309d937a2,xgb_raw_rolling_cv_y2024,xgboost,xgb_raw,none,0,60,42,regression,1,5,5f466004c922,62da5fb90654,included
m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-da1e51e1afff__sd-42__tg-fixed-medium,ea28e59a7ff1,gat_corr_sector_granger_rolling_cv_y2020,gnn,gat,corr+sector+granger,60,250,42,regression,1,21,da1e51e1afff,992bded66442,included
m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-3170f4531422__sd-42__tg-fixed-medium,2a8925c7c08c,gat_corr_sector_granger_rolling_cv_y2021,gnn,gat,corr+sector+granger,60,250,42,regression,1,21,3170f4531422,09f784f0bc8d,included
m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-2041bcaeeadb__sd-42__tg-fixed-medium,73fcb7d1325a,gat_corr_sector_granger_rolling_cv_y2022,gnn,gat,corr+sector+granger,60,250,42,regression,1,21,2041bcaeeadb,a43bf196a0bc,included
m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-2108dc994532__sd-42__tg-fixed-medium,a7bfb0ee0780,gat_corr_sector_granger_rolling_cv_y2023,gnn,gat,corr+sector+granger,60,250,42,regression,1,21,2108dc994532,0c1742a28ce5,included
m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-5f466004c922__sd-42__tg-fixed-medium,4327280d24c4,gat_corr_sector_granger_rolling_cv_y2024,gnn,gat,corr+sector+granger,60,250,42,regression,1,21,5f466004c922,2eedcdffa35d,included
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-da1e51e1afff__sd-42__tg-fixed-medium,77db3107f7f0,xgb_node2vec_corr_rolling_cv_y2020,xgboost,xgb_node2vec,node2vec_correlation,60,60,42,regression,1,21,da1e51e1afff,674b044bdd2a,included
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-3170f4531422__sd-42__tg-fixed-medium,10a383b10d9e,xgb_node2vec_corr_rolling_cv_y2021,xgboost,xgb_node2vec,node2vec_correlation,60,60,42,regression,1,21,3170f4531422,10a3467d9c25,included
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-2041bcaeeadb__sd-42__tg-fixed-medium,90d0915e9997,xgb_node2vec_corr_rolling_cv_y2022,xgboost,xgb_node2vec,node2vec_correlation,60,60,42,regression,1,21,2041bcaeeadb,2d65242d19d5,included
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-2108dc994532__sd-42__tg-fixed-medium,8b1d257144b2,xgb_node2vec_corr_rolling_cv_y2023,xgboost,xgb_node2vec,node2vec_correlation,60,60,42,regression,1,21,2108dc994532,717185466c45,included
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-5f466004c922__sd-42__tg-fixed-medium,6ae7988328bc,xgb_node2vec_corr_rolling_cv_y2024,xgboost,xgb_node2vec,node2vec_correlation,60,60,42,regression,1,21,5f466004c922,adf0c646efee,included
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-da1e51e1afff__sd-42__tg-fixed-medium,1535a7a76c27,xgb_raw_rolling_cv_y2020,xgboost,xgb_raw,none,0,60,42,regression,1,21,da1e51e1afff,bc48554ede64,included
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-3170f4531422__sd-42__tg-fixed-medium,cf12d074d51b,xgb_raw_rolling_cv_y2021,xgboost,xgb_raw,none,0,60,42,regression,1,21,3170f4531422,6e1ac49698e5,included
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-2041bcaeeadb__sd-42__tg-fixed-medium,148e0e662ef4,xgb_raw_rolling_cv_y2022,xgboost,xgb_raw,none,0,60,42,regression,1,21,2041bcaeeadb,fd1b7fb84590,included
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-2108dc994532__sd-42__tg-fixed-medium,90157c707322,xgb_raw_rolling_cv_y2023,xgboost,xgb_raw,none,0,60,42,regression,1,21,2108dc994532,56b83f3ea986,included
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-5f466004c922__sd-42__tg-fixed-medium,be6767ed6641,xgb_raw_rolling_cv_y2024,xgboost,xgb_raw,none,0,60,42,regression,1,21,5f466004c922,62da5fb90654,included
