decision_rank,run_tag,model_name,edge_type,rebalance_freq,portfolio_sharpe_annualized,portfolio_annualized_return,portfolio_max_drawdown,prediction_rank_ic,portfolio_turnover,portfolio_final_value,test_final_value,delta_final_value_vs_test_bh,ratio_final_value_vs_test_bh,delta_annualized_return_vs_test_bh,test_start_date,test_end_date
11,xgb_raw_rolling_cv_y2024,xgb_raw,none,5,2.089369398974359,0.252831949448778,-0.055886722517451005,-0.002560843876874,0.1496,1.24171187028234,1.9075730534,-0.66586118311766,0.6509380430118525,-0.669642029351222,2024-01-02,2024-12-27
12,gat_corr_sector_granger_rolling_cv_y2021,gat,corr+sector+granger,21,2.049014008268746,0.24959241769828902,-0.064975949629282,-0.012511537428000001,0.038645418326693,1.261169989321662,1.5011860395,-0.24001605017833816,0.8401157192626969,-0.25648047930171103,2021-01-04,2021-12-30
13,xgb_node2vec_corr_rolling_cv_y2024,xgb_node2vec,node2vec_correlation,5,2.047191145101298,0.25224626984236,-0.052187159991367006,0.012689945257071001,0.1356,1.239570252874969,1.9075730534,-0.6680028005250309,0.6498153508016885,-0.6702277089576401,2024-01-02,2024-12-27
14,xgb_node2vec_corr_rolling_cv_y2024,xgb_node2vec,node2vec_correlation,21,2.010728887547129,0.251837950439571,-0.06611323721636,0.012689945257071001,0.036800000000000006,1.239169274043192,1.9075730534,-0.6684037793568078,0.6496051471447107,-0.670636028360429,2024-01-02,2024-12-27
15,xgb_node2vec_corr_rolling_cv_y2021,xgb_node2vec,node2vec_correlation,21,1.977222088754921,0.23422749186580402,-0.068101888834442,0.001312740022525,0.033466135458167005,1.2422163976941811,1.501186039472033,-0.258969641777852,0.8274899746143846,-0.2718454050996171,2021-01-04,2021-12-30
16,gat_corr_sector_granger_rolling_cv_y2024,gat,corr+sector+granger,5,1.952980884013709,0.24091942534934002,-0.071010791546932,0.006014665175640001,0.1504,1.23358120403901,1.9075730534,-0.67399184936099,0.6466757337761259,-0.68155455345066,2024-01-02,2024-12-27
17,xgb_raw_rolling_cv_y2024,xgb_raw,none,1,1.8310290464654981,0.21344608237067703,-0.05302612930603601,-0.002560843876874,0.5868,1.2029805190583691,1.9075730534,-0.7045925343416308,0.6306340493299658,-0.7090278964293231,2024-01-02,2024-12-27
18,xgb_raw_rolling_cv_y2023,xgb_raw,none,5,1.805150208181862,0.220332412020588,-0.09222532337386401,0.008829589300839,0.14216867469879502,1.220491617213692,1.7291630661,-0.508671448886308,0.7058279471388554,-0.524171767979412,2023-01-03,2023-12-28
19,gat_corr_sector_granger_rolling_cv_y2023,gat,corr+sector+granger,1,1.789681448649153,0.23326081756043002,-0.09581591196528201,0.0026468492993890003,0.6305220883534131,1.234810327129565,1.7291630661,-0.49435273897043497,0.7141086640918076,-0.51124336243957,2023-01-03,2023-12-28
20,xgb_raw_rolling_cv_y2024,xgb_raw,none,21,1.76583963580263,0.21788968505585402,-0.07390674914765401,-0.002560843876874,0.036000000000000004,1.207350771214193,1.9075730534,-0.7002222821858068,0.6329250505306981,-0.704584293744146,2024-01-02,2024-12-27
21,xgb_node2vec_corr_rolling_cv_y2023,xgb_node2vec,node2vec_correlation,5,1.658612067111412,0.19796807606612202,-0.10621543937195901,0.013562496130416001,0.13534136546184702,1.2040649529210241,1.7291630660574766,-0.5250981131364525,0.6963281697117868,-0.5465361039364676,2023-01-03,2023-12-28
22,xgb_node2vec_corr_rolling_cv_y2023,xgb_node2vec,node2vec_correlation,1,1.653857931218682,0.20739395342076902,-0.09751348578150601,0.013562496130416001,0.599196787148594,1.213425580670043,1.7291630660574766,-0.5157374853874337,0.7017415560677429,-0.5371102265818205,2023-01-03,2023-12-28
23,xgb_raw_rolling_cv_y2023,xgb_raw,none,1,1.617091653783168,0.20342435335867,-0.11635464504330001,0.008829589300839,0.637349397590361,1.203781280885005,1.7291630661,-0.5253817852149949,0.6961641180551266,-0.54107982664133,2023-01-03,2023-12-28
24,gat_corr_sector_granger_rolling_cv_y2023,gat,corr+sector+granger,21,1.501410381673205,0.17721121416114502,-0.09568712718724001,0.0026468492993890003,0.037349397590361,1.179343160171829,1.7291630661,-0.549819905928171,0.6820311995396424,-0.567292965838855,2023-01-03,2023-12-28
25,xgb_raw_rolling_cv_y2023,xgb_raw,none,21,1.447157211565755,0.17065575473468603,-0.105802185101787,0.008829589300839,0.034538152610441006,1.171387883029661,1.7291630661,-0.557775183070339,0.6774305477572107,-0.573848425265314,2023-01-03,2023-12-28
26,xgb_node2vec_corr_rolling_cv_y2023,xgb_node2vec,node2vec_correlation,21,1.246447322564014,0.149265437019892,-0.125687781022054,0.013562496130416001,0.034136546184738,1.1556853248759311,1.7291630660574766,-0.5734777411815455,0.6683495313781567,-0.5952387429826975,2023-01-03,2023-12-28
27,gat_corr_sector_granger_rolling_cv_y2023,gat,corr+sector+granger,5,1.119213755086209,0.138364996065541,-0.09644825721521101,0.0026468492993890003,0.14859437751004,1.140882245047168,1.7291630661,-0.5882808210528319,0.6597886962855065,-0.6061391839344591,2023-01-03,2023-12-28
28,xgb_node2vec_corr_rolling_cv_y2020,xgb_node2vec,node2vec_correlation,1,0.97966933890364,0.318849902493386,-0.313861215369026,0.06033045575537101,0.547619047619047,1.309731093209378,1.5067031889012839,-0.19697209569190588,0.8692694771320278,-0.19031598895201934,2020-01-02,2020-12-30
29,xgb_raw_rolling_cv_y2020,xgb_raw,none,1,0.9756176139463991,0.32673117264489004,-0.317024041459016,0.048687851218837,0.550396825396825,1.3192726425425891,1.5067031889,-0.18743054635741085,0.875602210350236,-0.18243471875510997,2020-01-02,2020-12-30
30,gat_corr_sector_granger_rolling_cv_y2020,gat,corr+sector+granger,21,0.960017997090408,0.314186115310352,-0.30809542499132603,0.009231897231014,0.030952380952380003,1.304139705226038,1.5067031889,-0.20256348367396204,0.8655584688701378,-0.194979776089648,2020-01-02,2020-12-30
31,xgb_node2vec_corr_rolling_cv_y2020,xgb_node2vec,node2vec_correlation,21,0.771521539401929,0.21460574157953902,-0.283586994944286,0.06033045575537101,0.037301587301587,1.20620769863941,1.5067031889012839,-0.30049549026187394,0.8005609250213369,-0.2945601498658663,2020-01-02,2020-12-30
32,gat_corr_sector_granger_rolling_cv_y2020,gat,corr+sector+granger,5,0.699790035218618,0.216420133442172,-0.310241275399236,0.009231897231014,0.13809523809523802,1.207121103911268,1.5067031889,-0.29958208498873207,0.8011671527638776,-0.292745757957828,2020-01-02,2020-12-30
33,xgb_raw_rolling_cv_y2020,xgb_raw,none,21,0.655212453225377,0.170336924656143,-0.288409902763759,0.048687851218837,0.032142857142857,1.163757601457622,1.5067031889,-0.3429455874423779,0.7723867647132595,-0.338828966743857,2020-01-02,2020-12-30
34,xgb_raw_rolling_cv_y2020,xgb_raw,none,5,0.6503802700047341,0.187423407603573,-0.304566835940817,0.048687851218837,0.14166666666666602,1.180748028738288,1.5067031889,-0.3259551601617119,0.7836633236306599,-0.321742483796427,2020-01-02,2020-12-30
35,xgb_node2vec_corr_rolling_cv_y2020,xgb_node2vec,node2vec_correlation,5,0.592813758521727,0.162845084796083,-0.32994603674787304,0.06033045575537101,0.143650793650793,1.154804926067592,1.5067031889012839,-0.35189826283369174,0.7664448675586182,-0.34632080664932235,2020-01-02,2020-12-30
36,gat_corr_sector_granger_rolling_cv_y2020,gat,corr+sector+granger,1,0.5450168410926161,0.15135594438736502,-0.36351748648584503,0.009231897231014,0.6154761904761901,1.14255430370986,1.5067031889,-0.36414888519014,0.7583141206092525,-0.357809947012635,2020-01-02,2020-12-30
37,gat_corr_sector_granger_rolling_cv_y2022,gat,corr+sector+granger,1,-0.088258126613659,-0.048720229259903006,-0.19000293880433802,0.036087976539589006,0.6328,0.9589424341031021,0.7049108139,0.2540316202031021,1.3603741284626392,0.24933254124009702,2022-01-03,2022-12-29
38,xgb_raw_rolling_cv_y2022,xgb_raw,none,1,-0.358675681253787,-0.099948643609023,-0.20796923284513302,0.016717674573405002,0.5952000000000001,0.903890959488949,0.7049108139,0.19898014558894905,1.2822770507492551,0.198104126890977,2022-01-03,2022-12-29
39,gat_corr_sector_granger_rolling_cv_y2022,gat,corr+sector+granger,5,-0.42445883314243804,-0.11361365901709002,-0.232609887119737,0.036087976539589006,0.1496,0.8940274716558051,0.7049108139,0.1891166577558051,1.2682845177384858,0.18443911148290998,2022-01-03,2022-12-29
40,xgb_raw_rolling_cv_y2022,xgb_raw,none,21,-0.43208256764343606,-0.112091292032298,-0.16705578469190802,0.016717674573405002,0.0396,0.891792641466523,0.7049108139,0.18688182756652305,1.2651141447704255,0.185961478467702,2022-01-03,2022-12-29
41,xgb_node2vec_corr_rolling_cv_y2022,xgb_node2vec,node2vec_correlation,5,-0.43217337686488705,-0.111428404887056,-0.208839070995801,0.0010558387552360002,0.1428,0.891639670157888,0.7049108139142073,0.18672885624368074,1.2648971367126836,0.18662436556788836,2022-01-03,2022-12-29
42,xgb_raw_rolling_cv_y2022,xgb_raw,none,5,-0.47994917087729605,-0.122160350774225,-0.202098952512154,0.016717674573405002,0.1476,0.8817593476666241,0.7049108139,0.17684853376662413,1.250880721758529,0.17589241972577502,2022-01-03,2022-12-29
43,xgb_node2vec_corr_rolling_cv_y2022,xgb_node2vec,node2vec_correlation,21,-0.49304538247535606,-0.127743029527221,-0.21186439337305502,0.0010558387552360002,0.0356,0.8753974516531541,0.7049108139142073,0.1704866377389468,1.241855614034737,0.17030974092772339,2022-01-03,2022-12-29
44,gat_corr_sector_granger_rolling_cv_y2022,gat,corr+sector+granger,21,-0.572845803862963,-0.14516299447498301,-0.24122546846646903,0.036087976539589006,0.0352,0.8624542007308901,0.7049108139,0.1575433868308901,1.2234940700643577,0.152889776025017,2022-01-03,2022-12-29
45,xgb_node2vec_corr_rolling_cv_y2022,xgb_node2vec,node2vec_correlation,1,-0.593415180184248,-0.146969826986925,-0.23763242919353603,0.0010558387552360002,0.5788,0.856252885925299,0.7049108139142073,0.15134207201109173,1.2146967659223784,0.15108294346801937,2022-01-03,2022-12-29
