run_id,experiment_id,timestamp,seed,model_name,model_family,edge_type,directed,graph_window,target_type,target_horizon,corr_window,lookback_window,protocol_version,split_train_end,split_val_start,split_test_start,rebalance_freq,baseline_version,target_policy_hash,split_id,config_hash,run_key,prediction_rows,prediction_unique_pairs,prediction_rmse,prediction_mae,prediction_rank_ic,portfolio_final_value,portfolio_cumulative_return,portfolio_annualized_return,portfolio_annualized_volatility,portfolio_sharpe,portfolio_sharpe_daily,portfolio_sharpe_annualized,portfolio_sortino_annualized,portfolio_max_drawdown,portfolio_turnover,runtime_train_seconds,runtime_inference_seconds,run_tag,out_dir,artifact_prefix
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-da1e51e1afff__sd-42__tg-fixed-medium,xgb_raw_rolling_cv_y2020_1772230460_reb1,2026-02-27 22:14:20,42,xgb_raw,xgboost,none,False,,regression,1,0,60,v1_rolling_cv_subset,2019-12-31,2020-01-01,2020-01-01,1,price_bh_v2_eqw_v2,c12afaeb7d19,da1e51e1afff,bc48554ede64,2f437d78e2c8,8064,8064,0.028304006641112003,0.017968617714046002,0.048687851218837,1.3192726425425891,0.32673117264489004,0.32673117264489004,0.344879639769614,0.061458104597000004,0.061458104597000004,0.9756176139463991,1.109795518321998,-0.317024041459016,0.550396825396825,0.5971710681915281,0.0030269622802730003,xgb_raw_rolling_cv_y2020,results/runs/m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-da1e51e1afff__sd-42__tg-fixed-medium,xgb_raw
m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-da1e51e1afff__sd-42__tg-fixed-medium,gat_corr_sector_granger_rolling_cv_y2020_1772231369_reb1,2026-02-27 22:29:29,42,gat,gnn,corr+sector+granger,True,2000-06-26..2020-12-30,regression,1,60,250,v1_rolling_cv_subset,2019-12-31,2020-01-01,2020-01-01,1,price_bh_v2_eqw_v2,c12afaeb7d19,da1e51e1afff,992bded66442,3c2fb91efc8d,8064,8064,0.032078780742034005,0.01952774477494,0.009231897231014,1.14255430370986,0.15135594438736502,0.15135594438736502,0.37153107299050003,0.034332819184644,0.034332819184644,0.5450168410926161,0.598864076962837,-0.36351748648584503,0.6154761904761901,826.2909512519836,19.031114101409912,gat_corr_sector_granger_rolling_cv_y2020,results/runs/m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-da1e51e1afff__sd-42__tg-fixed-medium,gat
m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-2041bcaeeadb__sd-42__tg-fixed-medium,gat_corr_sector_granger_rolling_cv_y2022_1772233911_reb1,2026-02-27 23:11:51,42,gat,gnn,corr+sector+granger,True,2000-06-26..2022-12-29,regression,1,60,250,v1_rolling_cv_subset,2021-12-31,2022-01-01,2022-01-01,1,price_bh_v2_eqw_v2,0ccfda622ba4,2041bcaeeadb,a43bf196a0bc,e2c9d7bf47cc,8000,8000,0.022541834968430003,0.016059226059923,0.036087976539589006,0.9589424341031021,-0.048343062120693,-0.048720229259903006,0.215997636463845,-0.005559735299652001,-0.005559735299652001,-0.088258126613659,-0.140724287116738,-0.19000293880433802,0.6328,1206.4294531345367,19.194233179092407,gat_corr_sector_granger_rolling_cv_y2022,results/runs/m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-2041bcaeeadb__sd-42__tg-fixed-medium,gat
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-2041bcaeeadb__sd-42__tg-fixed-medium,xgb_raw_rolling_cv_y2022_1772230471_reb1,2026-02-27 22:14:31,42,xgb_raw,xgboost,none,False,,regression,1,0,60,v1_rolling_cv_subset,2021-12-31,2022-01-01,2022-01-01,1,price_bh_v2_eqw_v2,0ccfda622ba4,2041bcaeeadb,fd1b7fb84590,43a6ab294b37,8000,8000,0.021577155135149,0.015291376967491001,0.016717674573405002,0.903890959488949,-0.099196118740873,-0.099948643609023,0.217986607750274,-0.02259442768704,-0.02259442768704,-0.358675681253787,-0.580570187218141,-0.20796923284513302,0.5952000000000001,0.682205915451049,0.003450155258178,xgb_raw_rolling_cv_y2022,results/runs/m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-2041bcaeeadb__sd-42__tg-fixed-medium,xgb_raw
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-2041bcaeeadb__sd-42__tg-fixed-medium,xgb_node2vec_corr_rolling_cv_y2022_1772230431_reb1,2026-02-27 22:13:51,42,xgb_node2vec,xgboost,node2vec_correlation,False,2000-03-29..2021-12-31,regression,1,60,60,v1_rolling_cv_subset,2021-12-31,2022-01-01,2022-01-01,1,price_bh_v2_eqw_v2,0ccfda622ba4,2041bcaeeadb,2d65242d19d5,a68e64de6a4c,8000,8000,0.021671609614095002,0.015367471803471,0.0010558387552360002,0.856252885925299,-0.145892973389179,-0.146969826986925,0.22215374143097302,-0.03738161593044,-0.03738161593044,-0.593415180184248,-0.9710879583093021,-0.23763242919353603,0.5788,5.738354921340942,0.007155179977416001,xgb_node2vec_corr_rolling_cv_y2022,results/runs/m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-2041bcaeeadb__sd-42__tg-fixed-medium,xgb_node2vec
m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-3170f4531422__sd-42__tg-fixed-medium,gat_corr_sector_granger_rolling_cv_y2021_1772232633_reb5,2026-02-27 22:50:33,42,gat,gnn,corr+sector+granger,True,2000-06-26..2021-12-30,regression,1,60,250,v1_rolling_cv_subset,2020-12-31,2021-01-01,2021-01-01,5,price_bh_v2_eqw_v2,3b53bcae1702,3170f4531422,09f784f0bc8d,218f6a12360c,8032,8032,0.015141437129016002,0.010863811468456,-0.012511537428000001,1.337620246602723,0.324169516357178,0.32565165029757404,0.12291869474269301,0.15361932270561102,0.15361932270561102,2.438634296123884,3.361333655097302,-0.057761408328991,0.150996015936255,1192.4999389648438,19.326002836227417,gat_corr_sector_granger_rolling_cv_y2021,results/runs/m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-3170f4531422__sd-42__tg-fixed-medium,gat
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-3170f4531422__sd-42__tg-fixed-medium,xgb_node2vec_corr_rolling_cv_y2021_1772230420_reb5,2026-02-27 22:13:40,42,xgb_node2vec,xgboost,node2vec_correlation,False,2000-03-29..2020-12-31,regression,1,60,60,v1_rolling_cv_subset,2020-12-31,2021-01-01,2021-01-01,5,price_bh_v2_eqw_v2,3b53bcae1702,3170f4531422,10a3467d9c25,380c6517e36e,8032,8032,0.015029188434253,0.010766790106507001,0.001312740022525,1.2905661753161721,0.281195949885574,0.282461405665729,0.11511878843588301,0.14382320716076402,0.14382320716076402,2.283125781794766,3.29233860149268,-0.055918844832723004,0.13705179282868502,5.371665954589844,0.006897211074829001,xgb_node2vec_corr_rolling_cv_y2021,results/runs/m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-3170f4531422__sd-42__tg-fixed-medium,xgb_node2vec
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-3170f4531422__sd-42__tg-fixed-medium,xgb_raw_rolling_cv_y2021_1772230466_reb5,2026-02-27 22:14:26,42,xgb_raw,xgboost,none,False,,regression,1,0,60,v1_rolling_cv_subset,2020-12-31,2021-01-01,2021-01-01,5,price_bh_v2_eqw_v2,3b53bcae1702,3170f4531422,6e1ac49698e5,b44768c6eda8,8032,8032,0.015022850574396,0.010756106879091001,0.0009740618015500001,1.29181928634921,0.28055859286683804,0.28182087797603,0.11782089314964801,0.141211921431275,0.141211921431275,2.2416727778850802,3.391532244479665,-0.049038529662256004,0.147011952191235,0.41394376754760703,0.003350019454956,xgb_raw_rolling_cv_y2021,results/runs/m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-3170f4531422__sd-42__tg-fixed-medium,xgb_raw
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-5f466004c922__sd-42__tg-fixed-medium,xgb_raw_rolling_cv_y2024_1772230483_reb5,2026-02-27 22:14:43,42,xgb_raw,xgboost,none,False,,regression,1,0,60,v1_rolling_cv_subset,2023-12-31,2024-01-01,2024-01-01,5,price_bh_v2_eqw_v2,7ca238b83d6a,5f466004c922,62da5fb90654,b95309d937a2,8000,8000,0.015613447066227,0.01052763418899,-0.002560843876874,1.24171187028234,0.25059271071369,0.252831949448778,0.10723106206784301,0.13161770578704302,0.13161770578704302,2.089369398974359,2.896186016480272,-0.055886722517451005,0.1496,0.7357759475708,0.003353834152221,xgb_raw_rolling_cv_y2024,results/runs/m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-5f466004c922__sd-42__tg-fixed-medium,xgb_raw
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-5f466004c922__sd-42__tg-fixed-medium,xgb_node2vec_corr_rolling_cv_y2024_1772230454_reb5,2026-02-27 22:14:14,42,xgb_node2vec,xgboost,node2vec_correlation,False,2000-03-29..2023-12-29,regression,1,60,60,v1_rolling_cv_subset,2023-12-31,2024-01-01,2024-01-01,5,price_bh_v2_eqw_v2,7ca238b83d6a,5f466004c922,adf0c646efee,6bd13262934e,8000,8000,0.015629879906773,0.010540594989568,0.012689945257071001,1.239570252874969,0.250012716783551,0.25224626984236,0.10866616336696101,0.12896073199214,0.12896073199214,2.047191145101298,2.803999346302799,-0.052187159991367006,0.1356,5.962372779846191,0.008360862731933,xgb_node2vec_corr_rolling_cv_y2024,results/runs/m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-5f466004c922__sd-42__tg-fixed-medium,xgb_node2vec
m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-5f466004c922__sd-42__tg-fixed-medium,gat_corr_sector_granger_rolling_cv_y2024_1772236723_reb5,2026-02-27 23:58:43,42,gat,gnn,corr+sector+granger,True,2000-06-26..2024-12-27,regression,1,60,250,v1_rolling_cv_subset,2023-12-31,2024-01-01,2024-01-01,5,price_bh_v2_eqw_v2,7ca238b83d6a,5f466004c922,2eedcdffa35d,6ef0087c5ede,8000,8000,0.016023773513426,0.010940650584670001,0.006014665175640001,1.23358120403901,0.23879540667627702,0.24091942534934002,0.111566174565125,0.12302605671946001,0.12302605671946001,1.952980884013709,2.8679919308279103,-0.071010791546932,0.1504,1360.8621711730957,19.150336027145386,gat_corr_sector_granger_rolling_cv_y2024,results/runs/m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-5f466004c922__sd-42__tg-fixed-medium,gat
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-2108dc994532__sd-42__tg-fixed-medium,xgb_raw_rolling_cv_y2023_1772230477_reb5,2026-02-27 22:14:37,42,xgb_raw,xgboost,none,False,,regression,1,0,60,v1_rolling_cv_subset,2022-12-31,2023-01-01,2023-01-01,5,price_bh_v2_eqw_v2,13a0f67e443c,2108dc994532,56b83f3ea986,b25ffa974bc0,7968,7968,0.01581805160309,0.010908759086337,0.008829589300839,1.220491617213692,0.217443021315355,0.220332412020588,0.11542657734115801,0.11371361813373002,0.11371361813373002,1.805150208181862,3.022884985671836,-0.09222532337386401,0.14216867469879502,0.6389219760894771,0.0037009716033930004,xgb_raw_rolling_cv_y2023,results/runs/m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-2108dc994532__sd-42__tg-fixed-medium,xgb_raw
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-2108dc994532__sd-42__tg-fixed-medium,xgb_node2vec_corr_rolling_cv_y2023_1772230443_reb5,2026-02-27 22:14:03,42,xgb_node2vec,xgboost,node2vec_correlation,False,2000-03-29..2022-12-30,regression,1,60,60,v1_rolling_cv_subset,2022-12-31,2023-01-01,2023-01-01,5,price_bh_v2_eqw_v2,13a0f67e443c,2108dc994532,717185466c45,1de261b80325,7968,7968,0.015830225137529002,0.010919127221631,0.013562496130416001,1.2040649529210241,0.195394829400132,0.19796807606612202,0.11749558699069901,0.10448259814850001,0.10448259814850001,1.658612067111412,2.778261418082062,-0.10621543937195901,0.13534136546184702,5.62736177444458,0.007638931274414001,xgb_node2vec_corr_rolling_cv_y2023,results/runs/m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-2108dc994532__sd-42__tg-fixed-medium,xgb_node2vec
m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-2108dc994532__sd-42__tg-fixed-medium,gat_corr_sector_granger_rolling_cv_y2023_1772235280_reb5,2026-02-27 23:34:40,42,gat,gnn,corr+sector+granger,True,2000-06-26..2023-12-28,regression,1,60,250,v1_rolling_cv_subset,2022-12-31,2023-01-01,2023-01-01,5,price_bh_v2_eqw_v2,13a0f67e443c,2108dc994532,0c1742a28ce5,1166c559d4d6,7968,7968,0.016444096983807003,0.011499378469892001,0.0026468492993890003,1.140882245047168,0.13661011015128002,0.138364996065541,0.126314363765329,0.07050375091566101,0.07050375091566101,1.119213755086209,1.712518212798688,-0.09644825721521101,0.14859437751004,1293.1873648166656,19.723127603530884,gat_corr_sector_granger_rolling_cv_y2023,results/runs/m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-2108dc994532__sd-42__tg-fixed-medium,gat
m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-da1e51e1afff__sd-42__tg-fixed-medium,gat_corr_sector_granger_rolling_cv_y2020_1772231369_reb5,2026-02-27 22:29:29,42,gat,gnn,corr+sector+granger,True,2000-06-26..2020-12-30,regression,1,60,250,v1_rolling_cv_subset,2019-12-31,2020-01-01,2020-01-01,5,price_bh_v2_eqw_v2,c12afaeb7d19,da1e51e1afff,992bded66442,b93e88ed8814,8064,8064,0.032078780742034005,0.01952774477494,0.009231897231014,1.207121103911268,0.216420133442172,0.216420133442172,0.36290356958541503,0.044082609363342004,0.044082609363342004,0.699790035218618,0.813389434514714,-0.310241275399236,0.13809523809523802,826.2909512519836,19.031114101409912,gat_corr_sector_granger_rolling_cv_y2020,results/runs/m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-da1e51e1afff__sd-42__tg-fixed-medium,gat
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-da1e51e1afff__sd-42__tg-fixed-medium,xgb_raw_rolling_cv_y2020_1772230460_reb5,2026-02-27 22:14:20,42,xgb_raw,xgboost,none,False,,regression,1,0,60,v1_rolling_cv_subset,2019-12-31,2020-01-01,2020-01-01,5,price_bh_v2_eqw_v2,c12afaeb7d19,da1e51e1afff,bc48554ede64,f245f2cd48f8,8064,8064,0.028304006641112003,0.017968617714046002,0.048687851218837,1.180748028738288,0.187423407603573,0.187423407603573,0.349853952476456,0.040970087411280005,0.040970087411280005,0.6503802700047341,0.726462221771737,-0.304566835940817,0.14166666666666602,0.5971710681915281,0.0030269622802730003,xgb_raw_rolling_cv_y2020,results/runs/m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-da1e51e1afff__sd-42__tg-fixed-medium,xgb_raw
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-da1e51e1afff__sd-42__tg-fixed-medium,xgb_node2vec_corr_rolling_cv_y2020_1772230408_reb5,2026-02-27 22:13:28,42,xgb_node2vec,xgboost,node2vec_correlation,False,2000-03-29..2019-12-31,regression,1,60,60,v1_rolling_cv_subset,2019-12-31,2020-01-01,2020-01-01,5,price_bh_v2_eqw_v2,c12afaeb7d19,da1e51e1afff,674b044bdd2a,bbeb5a620cf9,8064,8064,0.028361554863996004,0.017918721112953,0.06033045575537101,1.154804926067592,0.162845084796083,0.162845084796083,0.342413267079953,0.037343739325906004,0.037343739325906004,0.592813758521727,0.656660898204196,-0.32994603674787304,0.143650793650793,5.066169023513794,0.007650136947631001,xgb_node2vec_corr_rolling_cv_y2020,results/runs/m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-da1e51e1afff__sd-42__tg-fixed-medium,xgb_node2vec
m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-2041bcaeeadb__sd-42__tg-fixed-medium,gat_corr_sector_granger_rolling_cv_y2022_1772233912_reb5,2026-02-27 23:11:52,42,gat,gnn,corr+sector+granger,True,2000-06-26..2022-12-29,regression,1,60,250,v1_rolling_cv_subset,2021-12-31,2022-01-01,2022-01-01,5,price_bh_v2_eqw_v2,0ccfda622ba4,2041bcaeeadb,a43bf196a0bc,69f5604d5d7e,8000,8000,0.022541834968430003,0.016059226059923,0.036087976539589006,0.8940274716558051,-0.11276483780624301,-0.11361365901709002,0.21286899592118502,-0.026738373257238,-0.026738373257238,-0.42445883314243804,-0.673195367339658,-0.232609887119737,0.1496,1206.4294531345367,19.194233179092407,gat_corr_sector_granger_rolling_cv_y2022,results/runs/m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-2041bcaeeadb__sd-42__tg-fixed-medium,gat
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-2041bcaeeadb__sd-42__tg-fixed-medium,xgb_node2vec_corr_rolling_cv_y2022_1772230431_reb5,2026-02-27 22:13:51,42,xgb_node2vec,xgboost,node2vec_correlation,False,2000-03-29..2021-12-31,regression,1,60,60,v1_rolling_cv_subset,2021-12-31,2022-01-01,2022-01-01,5,price_bh_v2_eqw_v2,0ccfda622ba4,2041bcaeeadb,2d65242d19d5,c61e090e30a4,8000,8000,0.021671609614095002,0.015367471803471,0.0010558387552360002,0.891639670157888,-0.11059487214009,-0.111428404887056,0.214474087391571,-0.027224343622196,-0.027224343622196,-0.43217337686488705,-0.6995854313967601,-0.208839070995801,0.1428,5.738354921340942,0.007155179977416001,xgb_node2vec_corr_rolling_cv_y2022,results/runs/m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-2041bcaeeadb__sd-42__tg-fixed-medium,xgb_node2vec
