date,equal_weight
2020-09-14,1.0426353069833492
2020-09-15,1.0416105245960339
2020-09-16,1.041529119729947
2020-09-17,1.034363584451935
2020-09-18,1.024557304102134
2020-09-21,1.011530982955332
2020-09-22,1.0150469291521078
2020-09-23,0.9954664377574043
2020-09-24,0.9999209272785105
2020-09-25,1.0094205368727567
2020-09-28,1.0238470886428324
2020-09-29,1.018316869923567
2020-09-30,1.0254089067474739
2020-10-01,1.0263748630747818
2020-10-02,1.0235653938788039
2020-10-05,1.0383878236519937
2020-10-06,1.0281791311636415
2020-10-07,1.0435323841856428
2020-10-08,1.0538329673408058
2020-10-09,1.058634180475455
2020-10-12,1.0723450519864732
2020-10-13,1.0644067201776943
2020-10-14,1.0547270520730885
2020-10-15,1.0552109589318617
2020-10-16,1.0571360283905982
