date,buy_and_hold
2020-04-02,0.8608099986805853
2020-04-03,0.843552988818294
2020-04-06,0.9025494860971499
2020-04-07,0.8974139931397699
2020-04-08,0.9223482030737533
2020-04-09,0.932266908573126
2020-04-13,0.9341032542271717
2020-04-14,0.9668938795918199
2020-04-15,0.9559173594671591
2020-04-16,0.975833026210028
2020-04-17,0.986521549924031
2020-04-20,0.9703290233707856
2020-04-21,0.9407273280119617
2020-04-22,0.9646999966087815
2020-04-23,0.9648541214169515
2020-04-24,0.9790410810625486
2020-04-27,0.9893224689578436
2020-04-28,0.977135477696449
2020-04-29,0.9968155335737728
2020-04-30,0.9953306823008449
2020-05-01,0.9653692310174659
2020-05-04,0.974481989274277
2020-05-05,0.9813027615010529
2020-05-06,0.9808299177392414
2020-05-07,0.990287421798257
2020-05-08,1.0054384714235998
2020-05-11,1.0119246149314969
2020-05-12,0.991440790987136
2020-05-13,0.9796566279979458
2020-05-14,0.9957981633971431
2020-05-15,1.006971893313431
2020-05-18,1.0321431449065757
2020-05-19,1.0251629527352293
2020-05-20,1.0406302752447467
2020-05-21,1.031004732251624
2020-05-22,1.0361316602781596
2020-05-26,1.0400772596836199
2020-05-27,1.0492276078717717
2020-05-28,1.0467327272853701
2020-05-29,1.0564991661501586
2020-06-01,1.0595467770906655
2020-06-02,1.065685060953597
2020-06-03,1.0740522578404503
2020-06-04,1.0669046656766965
2020-06-05,1.089396077950019
2020-06-08,1.0971884797799802
2020-06-09,1.1028396880040852
2020-06-10,1.1079759471553376
2020-06-11,1.0484116896936573
2020-06-12,1.0589059276778774
2020-06-15,1.0688950662787662
2020-06-16,1.0842714764201347
2020-06-17,1.0851635246814655
2020-06-18,1.0844983480185584
2020-06-19,1.0798381480806862
2020-06-22,1.095306181187638
2020-06-23,1.1020651468623799
2020-06-24,1.0806490488137372
2020-06-25,1.0939342180319083
2020-06-26,1.0629005903617073
2020-06-29,1.0751210170585959
2020-06-30,1.0942059823506736
2020-07-01,1.1038578642250367
2020-07-02,1.109360876808988
2020-07-06,1.1346912874505959
2020-07-07,1.1249938051202433
2020-07-08,1.1434318635414973
2020-07-09,1.1518321870339905
2020-07-10,1.16043167306656
2020-07-13,1.145089565422876
2020-07-14,1.161924833256007
2020-07-15,1.1579319946165458
2020-07-16,1.1533976672996298
2020-07-17,1.1522797050897753
2020-07-20,1.1750755909304245
2020-07-21,1.1742144640932657
2020-07-22,1.1792643053381902
2020-07-23,1.156883657153036
2020-07-24,1.157310485003875
2020-07-27,1.16725674083324
2020-07-28,1.156992575153913
2020-07-29,1.170855724154279
2020-07-30,1.1717587587858167
2020-07-31,1.1864653920854984
2020-08-03,1.1967407112508928
2020-08-04,1.2066427571194867
2020-08-05,1.2199588884361137
2020-08-06,1.2295112343720613
2020-08-07,1.2235635096362418
2020-08-10,1.2263826542875844
2020-08-11,1.2080804944157257
2020-08-12,1.2360909625499148
2020-08-13,1.2368223438978438
2020-08-14,1.2374920928610924
2020-08-17,1.2544733014404763
2020-08-18,1.2611599271096319
2020-08-19,1.253233317614936
2020-08-20,1.2579093371124008
2020-08-21,1.275038889289758
2020-08-24,1.283690917358342
2020-08-25,1.2863867677765086
2020-08-26,1.296931426751992
2020-08-27,1.2932966744113568
2020-08-28,1.3072247308947529
2020-08-31,1.3120894000923369
2020-09-01,1.3332979327673755
2020-09-02,1.354931662815506
2020-09-03,1.2902139634582028
2020-09-04,1.2728990747131677
2020-09-08,1.2327028736570835
2020-09-09,1.2710292662000937
2020-09-10,1.244818427424179
2020-09-11,1.2401091426005255
2020-09-14,1.2622690674616455
