experiment_id,timestamp,seed,model_name,model_family,edge_type,directed,graph_window,target_type,target_horizon,lookback_window,protocol_version,split_train_end,split_val_start,split_test_start,rebalance_freq,baseline_version,target_policy_hash,prediction_rows,prediction_unique_pairs,prediction_rmse,prediction_mae,prediction_rank_ic,portfolio_final_value,portfolio_cumulative_return,portfolio_annualized_return,portfolio_annualized_volatility,portfolio_sharpe,portfolio_max_drawdown,portfolio_turnover,runtime_train_seconds,runtime_inference_seconds,run_tag,out_dir,artifact_prefix,portfolio_sharpe_daily,portfolio_sharpe_annualized,portfolio_sortino_annualized
xgb_raw_1771282537_reb5,2026-02-16 22:55:37,42,xgb_raw,xgboost,none,False,,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.019947379740142,0.013107034237569001,0.008801086458617,1.833378628074269,0.841279804179022,0.13029764839830302,0.206133527933018,0.043690013048533004,-0.33124778924294,0.13925159235668702,0.861003160476684,0.015546083450317001,xgb_raw,experiments/xgb_raw,xgb_raw,,,
lstm_1771282799_reb5,2026-02-16 22:59:59,42,lstm,lstm,none,False,,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.020037655371170002,0.013169270970445,0.002284211950072,1.911408049717064,0.9198848366340311,0.13981788108210402,0.20691653418247502,0.046099919900033,-0.35837177773974005,0.12348726114649601,243.98795676231384,11.100013971328735,lstm,experiments/lstm,lstm,,,
xgb_node2vec_corr_1771283063_reb5,2026-02-16 23:04:23,42,xgb_node2vec,xgboost,node2vec_correlation,False,2000-03-29..2015-12-31,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.019940051816401003,0.013097941587464001,0.013589118640618,1.948251447808269,0.9604982874918161,0.14461521391512702,0.20399663076218202,0.047781136976600004,-0.319226896797109,0.139490445859872,248.54894089698792,0.049585819244384,xgb_node2vec_corr,experiments/xgb_node2vec_corr,xgb_node2vec,,,
gcn_corr_only_1771283203_reb5,2026-02-16 23:06:43,42,gcn,gnn,corr,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.020009058674316002,0.013168537576304,0.00423778012653,1.9210978425497411,0.9396224863802081,0.14215935546994402,0.206549038564245,0.046477245134607006,-0.322936217036256,0.143869426751592,109.77868962287903,21.41129493713379,gcn_corr_only,experiments/gcn_corr_only,gcn,,,
gcn_sector_only_1771283324_reb5,2026-02-16 23:08:44,42,gcn,gnn,sector,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.019990163248939003,0.013138590085995001,0.015262394162166001,1.934932603417483,0.9504896756391521,0.14344040899413502,0.219457114207518,0.044957208341793,-0.35385037715538004,0.13328025477707,85.639230966568,21.76966881752014,gcn_sector_only,experiments/gcn_sector_only,gcn,,,
gcn_granger_only_1771283459_reb5,2026-02-16 23:10:59,42,gcn,gnn,granger,True,2000-06-26..2024-12-27,regression,1,250,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.019929752718940003,0.013115213296405002,0.016541811477636,1.986668111145695,1.00252920521137,0.14949704764489402,0.21088089292231202,0.047813468364030005,-0.318716836041387,0.14562101910828001,99.50034189224243,21.051489114761353,gcn_granger_only,experiments/gcn_granger_only,gcn,,,
gcn_corr_sector_granger_1771283604_reb5,2026-02-16 23:13:24,42,gcn,gnn,corr+sector+granger,True,2000-06-26..2024-12-27,regression,1,250,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.020026822217278,0.013186111208218,0.009274505206869,1.659821001109171,0.676367718344918,0.109217641533476,0.21042625476986002,0.037087013917931004,-0.33461431514135703,0.14044585987261102,108.27492928504944,22.08402395248413,gcn_corr_sector_granger,experiments/gcn_corr_sector_granger,gcn,,,
gat_corr_only_1771283889_reb5,2026-02-16 23:18:09,42,gat,gnn,corr,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.01996662840225,0.013142530676067,-0.006618227227731001,1.585975568386557,0.5939983138187821,0.09806119663873,0.219538268925584,0.033487082506262006,-0.357897179427199,0.139490445859872,249.06005096435547,22.659889936447144,gat_corr_only,experiments/gat_corr_only,gat,,,
gat_sector_only_1771284088_reb5,2026-02-16 23:21:28,42,gat,gnn,sector,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.019904088049881002,0.013130382199101,-0.0020282225656,1.7536773785700521,0.772636412775752,0.12171438591214301,0.20626637927069202,0.040946165862121006,-0.31599319939013004,0.142356687898089,163.98522520065308,21.780679941177368,gat_sector_only,experiments/gat_sector_only,gat,,,
gat_granger_only_1771284275_reb5,2026-02-16 23:24:35,42,gat,gnn,granger,True,2000-06-26..2024-12-27,regression,1,250,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.019937337451208,0.013115170393100001,-0.0006376135493440001,1.949791196688085,0.967248991999442,0.145404903065482,0.219989907983376,0.045314212007257,-0.348692130171517,0.14546178343949,140.94745326042175,29.64570379257202,gat_granger_only,experiments/gat_granger_only,gat,,,
gat_corr_sector_granger_1771284723_reb5,2026-02-16 23:32:03,42,gat,gnn,corr+sector+granger,True,2000-06-26..2024-12-27,regression,1,250,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.020005748295736002,0.013189475761456002,0.0020926991586760002,1.794904057921927,0.8135585973758651,0.12686266017386802,0.220666262391149,0.040473153528377,-0.33321631482497005,0.14331210191082802,375.8171980381012,21.075637817382812,gat_corr_sector_granger,experiments/gat_corr_sector_granger,gat,,,
tgcn_static_corr_only_1771285862_reb5,2026-02-16 23:51:02,42,tgcn_static,gnn,corr,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.019965907452344,0.013132280305549,0.009905304465764,1.881872101518588,0.8972747892809371,0.137111888749635,0.22031527195750303,0.043255911603483,-0.334798491316577,0.12842356687898002,1077.1287219524384,21.38564896583557,tgcn_static_corr_only,experiments/tgcn_static_corr_only,tgcn_static,,,
tgat_static_corr_only_1771286910_reb5,2026-02-17 00:08:30,42,tgat_static,gnn,corr,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.019920800778952003,0.013134978536789,0.010112771971143,1.904157487461829,0.915201251550772,0.139259445007082,0.214268631446124,0.044775690935759005,-0.35462193724391305,0.142515923566878,986.1724600791931,21.530554056167603,tgat_static_corr_only,experiments/tgat_static_corr_only,tgat_static,,,
