run_tag,model_name,edge_type,rebalance_freq,rebalance_label,active_return_annualized,tracking_error_annualized,information_ratio_annualized,relative_final_value,relative_max_drawdown,active_return_mean_daily_arithmetic,active_return_type,annualization_days
xgb_node2vec_corr_tuned_all,xgb_node2vec,node2vec_correlation,5,reb=5,0.006376603408755609,0.3032234935862648,0.021029384409956723,1.0211445768124863,-0.19462754810384275,2.5303981780776226e-05,arithmetic,252
tgat_static_corr_only_tuned_all,tgat_static,corr,5,reb=5,-0.00026435697411117626,0.32104322749659325,-0.0008234310879957172,0.9654381005944626,-0.1975372018685857,-1.0490356115522868e-06,arithmetic,252
lstm_tuned_all,lstm,none,5,reb=5,-0.0016367524824331715,0.3114876406050017,-0.005254630582626364,0.9650977651237048,-0.18582460859043437,-6.4950495334649665e-06,arithmetic,252
gcn_sector_only_tuned_all,gcn,sector,5,reb=5,-0.005340539961371854,0.31604143903295384,-0.01689822694679919,0.9454026662612093,-0.20201772134721552,-2.119261889433275e-05,arithmetic,252
gat_corr_sector_granger_tuned_all,gat,corr+sector+granger,5,reb=5,-0.008406321956253902,0.3078488015962073,-0.027306658049882977,0.9408808787450808,-0.19393872507033516,-3.3358420461325006e-05,arithmetic,252
xgb_raw_tuned_all,xgb_raw,none,5,reb=5,-0.008934605922391009,0.30336434425125197,-0.0294517338365619,0.9507730823831435,-0.19494531919952995,-3.545478540631353e-05,arithmetic,252
gat_sector_only_tuned_all,gat,sector,5,reb=5,-0.010283576041077517,0.31555926882159974,-0.032588413832620775,0.9228613937437393,-0.20381924714837962,-4.080784143284729e-05,arithmetic,252
gat_granger_only_tuned_all,gat,granger,5,reb=5,-0.010686453695743286,0.3185251973953288,-0.03354979067003006,0.9178586312709862,-0.19655002971028124,-4.240656228469558e-05,arithmetic,252
graphlasso_linear_tuned_all,graphlasso_linear,graphlasso,5,reb=5,-0.019581078268725318,0.31920552262328905,-0.061343168839324766,0.8736318352854878,-0.19459452067510052,-7.770269154256079e-05,arithmetic,252
tgcn_static_corr_only_tuned_all,tgcn_static,corr,5,reb=5,-0.01996084513078656,0.31455536655944766,-0.06345733455167159,0.8778666588437904,-0.22226769298045956,-7.920970289994667e-05,arithmetic,252
gat_corr_only_tuned_all,gat,corr,5,reb=5,-0.026363832517627122,0.3141798719161937,-0.08391318118768469,0.8503933324754371,-0.2408106212316823,-0.00010461838300645684,arithmetic,252
gcn_corr_only_tuned_all,gcn,corr,5,reb=5,-0.031505201077582395,0.30024984223040974,-0.10492995048239033,0.849483237226579,-0.26173795794058674,-0.00012502063919675555,arithmetic,252
gcn_granger_only_tuned_all,gcn,granger,5,reb=5,-0.032727383175577975,0.3069291499423988,-0.1066284619161129,0.8373316945604903,-0.26059619980106474,-0.00012987056815705545,arithmetic,252
gcn_corr_sector_granger_tuned_all,gcn,corr+sector+granger,5,reb=5,-0.038876191798483846,0.30536774602465805,-0.12730942381630783,0.8128668769756461,-0.28684662647452963,-0.0001542706023749359,arithmetic,252
