experiment_id,timestamp,seed,model_name,model_family,edge_type,directed,graph_window,target_type,target_horizon,lookback_window,protocol_version,split_train_end,split_val_start,split_test_start,rebalance_freq,baseline_version,target_policy_hash,split_id,config_hash,run_key,prediction_rows,prediction_unique_pairs,prediction_rmse,prediction_mae,prediction_rank_ic,portfolio_final_value,portfolio_cumulative_return,portfolio_annualized_return,portfolio_annualized_volatility,portfolio_sharpe,portfolio_sharpe_daily,portfolio_sharpe_annualized,portfolio_sortino_annualized,portfolio_max_drawdown,portfolio_turnover,runtime_train_seconds,runtime_inference_seconds,run_tag,out_dir,artifact_prefix
tgat_static_corr_only_tuned_all_1771575958_reb5,2026-02-20 08:25:58,42,tgat_static,gnn,corr,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,9bdee7f1b541,40192,40192,0.01999388727546,0.013127782372819,0.0036864569434970004,1.9014424959380412,0.911655021693166,0.138835892120091,0.22189351421036801,0.043608419283759005,0.043608419283759005,0.69226219496076,0.8590518755868041,-0.34548144579072904,0.125159235668789,139818.84152507782,22.61193299293518,tgat_static_corr_only_tuned_all,experiments_tuned_all/tgat_static_corr_only,tgat_static
gcn_sector_only_tuned_all_1771427781_reb5,2026-02-18 15:16:21,42,gcn,gnn,sector,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,6ae60981bc69,40192,40192,0.019992852014898,0.013149809836557001,0.005828628484046,1.861982455732079,0.8807835070963641,0.13512189217495602,0.21341019013034102,0.0435690863959,0.0435690863959,0.691637804723037,0.824865307888458,-0.34018079454750405,0.14299363057324802,31.151485204696655,20.529932975769043,gcn_sector_only_tuned_all,experiments_tuned_all/gcn_sector_only,gcn
gat_sector_only_tuned_all_1771429784_reb5,2026-02-18 15:49:44,42,gat,gnn,sector,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,602700f1cd84,40192,40192,0.019981358423233002,0.013144862517934001,0.0034558957652210003,1.817587135668736,0.835880956244724,0.129631923830886,0.21305961078071703,0.042182349499748,0.042182349499748,0.669624038956466,0.8043923846794161,-0.318447808849727,0.144108280254777,58.341113805770874,20.676901817321777,gat_sector_only_tuned_all,experiments_tuned_all/gat_sector_only,gat
gat_granger_only_tuned_all_1771430274_reb5,2026-02-18 15:57:54,42,gat,gnn,granger,True,2000-06-26..2024-12-27,regression,1,250,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,3fccfa77ecde,40192,40192,0.019998195665165003,0.013143600720930002,-0.0075959821047740005,1.807734131983757,0.8231416452077971,0.128054831499719,0.21766730124305703,0.041260794225602006,0.041260794225602006,0.65499480250773,0.8036526352356561,-0.35199981165231903,0.13542993630573202,58.68906807899475,20.962454080581665,gat_granger_only_tuned_all,experiments_tuned_all/gat_granger_only,gat
gcn_corr_only_tuned_all_1771427486_reb5,2026-02-18 15:11:26,42,gcn,gnn,corr,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,e3782196badf,40192,40192,0.019943355604769,0.013134635566428,-0.001751312819424,1.67306793242887,0.6831300219326021,0.11011394271512201,0.194318043915806,0.039635881050012006,0.039635881050012006,0.629200105519622,0.745305114947671,-0.306196028597646,0.13630573248407601,22.17281985282898,20.441216945648193,gcn_corr_only_tuned_all,experiments_tuned_all/gcn_corr_only,gcn
tgcn_static_corr_only_tuned_all_1771433316_reb5,2026-02-18 16:48:36,42,tgcn_static,gnn,corr,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,f07e6065a953,40192,40192,0.019953487356717002,0.013147438222743,-0.0006028948413760001,1.728969438708621,0.748704289462082,0.11865938753181202,0.21301244974465702,0.039253745385575,0.039253745385575,0.623133889908494,0.7306557032738631,-0.33500199501223304,0.14108280254777,1075.3046219348907,21.738582849502563,tgcn_static_corr_only_tuned_all,experiments_tuned_all/tgcn_static_corr_only,tgcn_static
graphlasso_linear_tuned_all_1772041295_reb5,2026-02-25 17:41:35,42,graphlasso_linear,xgboost,graphlasso,False,2010-01-01..2020-01-01,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,113d64fe54b5,a0689a22bcaa,40192,40192,0.020002283050528,0.013127531253621,0.006435047221727001,1.720628900385555,0.7366852879547511,0.11711250581207601,0.22146125309826803,0.037980567256214,0.037980567256214,0.602923245858214,0.7369788606180081,-0.357221223063237,0.135987261146496,25.2472083568573,0.0007169246673580001,graphlasso_linear_tuned_all,experiments_tuned_all/graphlasso_linear,graphlasso_linear
gcn_granger_only_tuned_all_1771428066_reb5,2026-02-18 15:21:06,42,gcn,gnn,granger,True,2000-06-26..2024-12-27,regression,1,250,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,edebeee77e61,40192,40192,0.019999401545765003,0.01314469514397,-0.00160778863588,1.649135316135523,0.6600713098077221,0.107045719187528,0.202211276737462,0.037670180381672004,0.037670180381672004,0.5979955747971001,0.717210304109236,-0.31721007009650504,0.134872611464968,35.172977924346924,20.678525924682617,gcn_granger_only_tuned_all,experiments_tuned_all/gcn_granger_only,gcn
gat_corr_only_tuned_all_1771429249_reb5,2026-02-18 15:40:49,42,gat,gnn,corr,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,9b3a8cc400ee,40192,40192,0.020076720531110002,0.013168452906317001,0.015159966113284,1.6748603764814352,0.693138259172369,0.111435203941687,0.213993481227014,0.037219369940391,0.037219369940391,0.5908391809007321,0.7255235959705351,-0.346289290416716,0.139490445859872,65.78625512123108,20.894680976867676,gat_corr_only_tuned_all,experiments_tuned_all/gat_corr_only,gat
gcn_corr_sector_granger_tuned_all_1771428435_reb5,2026-02-18 15:27:15,42,gcn,gnn,corr+sector+granger,True,2000-06-26..2024-12-27,regression,1,250,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,f0a36ee2e35b,40192,40192,0.019937123875751,0.013138913397631001,5.6280011228362746e-05,1.600951549840665,0.613312660940874,0.10071785979962401,0.19971255289407203,0.036135573445564,0.036135573445564,0.573634444918043,0.662571848064613,-0.33409262923451005,0.134474522292993,23.544135093688965,20.754667043685913,gcn_corr_sector_granger_tuned_all,experiments_tuned_all/gcn_corr_sector_granger,gcn
