decision_rank,run_tag,model_name,edge_type,rebalance_freq,portfolio_sharpe_annualized,portfolio_annualized_return,portfolio_max_drawdown,prediction_rank_ic,portfolio_turnover,portfolio_final_value,test_final_value,delta_final_value_vs_test_bh,ratio_final_value_vs_test_bh,delta_annualized_return_vs_test_bh,test_start_date,test_end_date
11,gcn_granger_only,gcn,granger,5,,0.14949704764489402,-0.318716836041387,0.016541811477636,0.14562101910828001,1.986668111145695,5.049288556044275,-3.06262044489858,0.39345505591427216,-0.2347269714560849,2020-01-02,2024-12-27
12,xgb_node2vec_corr,xgb_node2vec,node2vec_correlation,5,,0.14461521391512702,-0.319226896797109,0.013589118640618,0.139490445859872,1.948251447808269,5.049288556044275,-3.101037108236006,0.3858467239857198,-0.2396088051858519,2020-01-02,2024-12-27
13,xgb_node2vec_corr,xgb_node2vec,node2vec_correlation,1,,0.091677039332131,-0.320670824958871,0.013589118640618,0.586305732484076,1.538667396708434,5.049288556044275,-3.510621159335841,0.3047295435050082,-0.2925469797688479,2020-01-02,2024-12-27
14,gat_granger_only,gat,granger,1,,0.08546173895011,-0.32198464021676404,-0.0006376135493440001,0.5644904458598721,1.4915439772110461,5.049288556044275,-3.557744578833229,0.2953968585189266,-0.2987622801508689,2020-01-02,2024-12-27
15,gcn_corr_only,gcn,corr,5,,0.14215935546994402,-0.322936217036256,0.00423778012653,0.143869426751592,1.9210978425497411,5.049288556044275,-3.128190713494534,0.38046901483776,-0.2420646636310349,2020-01-02,2024-12-27
16,gat_corr_sector_granger,gat,corr+sector+granger,5,,0.12686266017386802,-0.33321631482497005,0.0020926991586760002,0.14331210191082802,1.794904057921927,5.049288556044275,-3.254384498122348,0.35547662566706123,-0.2573613589271109,2020-01-02,2024-12-27
17,gcn_sector_only,gcn,sector,1,,0.147438903340744,-0.33324707370197904,0.015262394162166001,0.523726114649681,1.968892251818249,5.049288556044275,-3.080396304226026,0.38993458780670737,-0.23678511576023492,2020-01-02,2024-12-27
18,gat_corr_sector_granger,gat,corr+sector+granger,1,,0.09209934879991401,-0.33458803567433004,0.0020926991586760002,0.559554140127388,1.535370004866508,5.049288556044275,-3.5139185511777673,0.30407650262502545,-0.2921246703010649,2020-01-02,2024-12-27
19,gcn_corr_sector_granger,gcn,corr+sector+granger,5,,0.109217641533476,-0.33461431514135703,0.009274505206869,0.14044585987261102,1.659821001109171,5.049288556044275,-3.3894675549351043,0.3287237365593365,-0.2750063775675029,2020-01-02,2024-12-27
20,tgcn_static_corr_only,tgcn_static,corr,5,,0.137111888749635,-0.334798491316577,0.009905304465764,0.12842356687898002,1.881872101518588,5.049288556044275,-3.1674164545256875,0.37270044693046583,-0.2471121303513439,2020-01-02,2024-12-27
21,gat_corr_only,gat,corr,1,,0.057281618083008,-0.33511673474525605,-0.006618227227731001,0.543312101910828,1.313342699173566,5.049288556044275,-3.7359458568707096,0.26010450474283603,-0.3269424010179709,2020-01-02,2024-12-27
22,gat_granger_only,gat,granger,5,,0.145404903065482,-0.348692130171517,-0.0006376135493440001,0.14546178343949,1.949791196688085,5.049288556044275,-3.0994973593561905,0.38615166771447,-0.2388191160354969,2020-01-02,2024-12-27
23,gcn_sector_only,gcn,sector,5,,0.14344040899413502,-0.35385037715538004,0.015262394162166001,0.13328025477707,1.934932603417483,5.049288556044275,-3.1143559526267923,0.38320895744832456,-0.2407836101068439,2020-01-02,2024-12-27
24,tgat_static_corr_only,tgat_static,corr,5,,0.139259445007082,-0.35462193724391305,0.010112771971143,0.142515923566878,1.904157487461829,5.049288556044275,-3.1451310685824465,0.3771140164256305,-0.2449645740938969,2020-01-02,2024-12-27
25,gat_corr_only,gat,corr,5,,0.09806119663873,-0.357897179427199,-0.006618227227731001,0.139490445859872,1.585975568386557,5.049288556044275,-3.4633129876577184,0.3140988182360973,-0.2861628224622489,2020-01-02,2024-12-27
