date,buy_and_hold
2020-09-14,1.3734964379550407
2020-09-15,1.3807273866395502
2020-09-16,1.352366847499633
2020-09-17,1.338528834091217
2020-09-18,1.3159878365070383
2020-09-21,1.3227268592358707
2020-09-22,1.341517684694789
2020-09-23,1.3091400854516893
2020-09-24,1.318931121786908
2020-09-25,1.3540987703944225
2020-09-28,1.3749938147352156
2020-09-29,1.3757551390776699
2020-09-30,1.392929334389029
2020-10-01,1.4030267811312902
2020-10-02,1.3734909596519747
2020-10-05,1.4102301692529569
2020-10-06,1.3923034425911818
2020-10-07,1.4206962034200092
2020-10-08,1.4190451637517207
2020-10-09,1.4341830475493709
2020-10-12,1.4791270324122956
2020-10-13,1.4683885468004338
2020-10-14,1.4527618007624832
2020-10-15,1.4487049176814697
2020-10-16,1.4413469175332816
2020-10-19,1.4132154488719342
