date,ic,hit,daily_return,drawdown
2023-01-04,-0.2727272727272727,0.1,-0.011086108422397468,-0.1976344615519302
2023-01-05,0.4754398826979472,1.0,0.023064943191955966,-0.17912794598844228
2023-01-06,0.1755865102639296,0.65,0.00089192760598385,-0.17839578754248875
2023-01-09,0.019061583577712607,0.7,0.0038252864793304297,-0.17525291605721405
2023-01-10,-0.04728739002932551,0.7,0.013542115180762995,-0.16408409605146235
2023-01-11,0.020161290322580645,0.7,0.007046506592767233,-0.15819380912329017
2023-01-12,-0.17375366568914952,0.75,0.005148367208468898,-0.15385988173429432
2023-01-13,0.05058651026392961,0.25,-0.0032599484121768082,-0.1566182548693138
2023-01-17,-0.22067448680351903,0.1,-0.015035609969048356,-0.16929901384411428
2023-01-18,0.032991202346041054,0.25,-0.006513993114467115,-0.17471019434811474
2023-01-19,-0.26759530791788855,0.75,0.010229280940014424,-0.16626807306917168
2023-01-20,-0.003665689149560117,0.8,0.010725667124198751,-0.15732574195009486
2023-01-23,-0.1598240469208211,0.6,0.002567166154274678,-0.1551624571157506
2023-01-24,-0.2595307917888563,0.4,-0.005371008223014767,-0.15970008650569345
2023-01-25,0.12170087976539588,0.8,0.010207928088971814,-0.15112236541557444
2023-01-26,0.2734604105571847,0.55,0.005026419192445417,-0.1468555505810616
2023-01-27,-0.34750733137829903,0.1,-0.014755147349689905,-0.159443822642808
2023-01-30,-0.031524926686217,0.75,0.008266730349707962,-0.1524951713808148
2023-01-31,0.29912023460410553,0.65,0.008809966339469504,-0.14502868236814204
2023-02-01,0.1378299120234604,0.55,0.0213617296944017,-0.12676501618442382
2023-02-02,-0.42815249266862165,0.3,-0.015462934737172153,-0.14026779174937976
2023-02-03,-0.4629765395894428,0.2,-0.0047192692449838,-0.14432509951869887
2023-02-06,0.18475073313782991,0.6,0.011216869881559236,-0.13472710549908384
2023-02-07,-0.4420821114369501,0.25,-0.013944760013831685,-0.14679312835937275
2023-02-08,0.3936950146627565,0.2,-0.006962995072830604,-0.1527340036027116
2023-02-09,-0.4244868035190615,0.55,-0.00017870230323879075,-0.15288541198772365
2023-02-10,0.1440615835777126,0.8,0.011316765819835097,-0.1432988145726226
2023-02-13,-0.038489736070381225,0.4,0.0008640412113635396,-0.14255858944258926
2023-02-14,-0.022360703812316713,0.45,-0.000517738926325087,-0.14300252023787807
